issue_key,design_decision_types,project,issue_id,votes,parent_key,parent_summary,has_parent,summary,description,raw_text,cleaned_text,token_list,issue_type,status,priority,reporter,assignee,created_date,updated_date,resolution_date,labels,components,fix_versions,comments,number_of_comments,comment_dates,comment_developers,bot_comment_count,human_comment_count,has_bot_comments,attachments,number_of_attachments,attachment_dates,attachment_files,has_attachments
YARN-10898,True False False,YARN,13397406,0,,,False,Support standalone YARN Service API SERVER,"Currently, YARN Service API server is served by ResourceManager. If API Server can be operated independently of Resource Manager. there are serveral advantages.

Bootstrap code for running YARN Service APIServer standalone is already prepared, but it is not exposed as yarn cli subcommand.
 Added apiserver subcommand to yarn cli command and fixed bugs in bootstrap code.

1. APIServer does not run as a daemon, jvm process is terminated
 2. Added SSL certificate configuration
 3. Added authentication handler",,,,Improvement,Patch Available,Major,KWON BYUNGCHANG,,2021-08-26T04:26:17.758+0000,2021-08-26T11:53:16.693+0000,,,yarn-native-services,,,2,"['2021-08-26T04:30:05.494+0000', '2021-08-26T11:53:16.693+0000']","['KWON BYUNGCHANG', 'Hadoop QA']",,,,,1,['2021-08-26T04:29:46.261+0000'],['YARN-10898.001.patch'],True
YARN-10889,True False False,YARN,13395836,0,,,False,[Umbrella] Queue Creation in Capacity Scheduler - Tech debts,Follow-up of YARN-10496,,,,Improvement,Resolved,Major,Szilard Nemeth,Benjamin Teke,2021-08-18T09:18:20.802+0000,2024-01-27T00:25:00.458+0000,2024-01-26T13:45:03.938+0000,scheduler,capacity scheduler,"3.4.0, 3.5.0",,0,[],[],,,,,0,[],[],False
YARN-10843,True False False,YARN,13387919,1,,,False,[Umbrella] Tools to help migration from Fair Scheduler to Capacity Scheduler - part II,"Remaining tasks for fs2cs converter.

Phase I was completed under YARN-9698.",,,,Task,In Progress,Major,Peter Bacsko,,2021-07-06T11:38:37.538+0000,2024-02-23T14:33:26.274+0000,,fs2cs,"capacity scheduler, capacityscheduler",,,0,[],[],,,,,0,[],[],False
YARN-10835,True False False,YARN,13386223,0,,,False,Pass user defined variables of yarn.nodemanager.env-whitelist along jobs,"The configuration of ""yarn.nodemanager.env-whitelist"" has been helpful in running multi version Hadoop on Yarn. But the pain point is that users need to use different configurations to run jobs of different versions of Hadoop.

The first idea is to have SRE prepared different versions of configurations and let users specify different environment variables of ""HADOOP_CONF_DIR"", this shifts the burden from users to SRE that they have to maintain different versions of configurations with only one or two configurations changed.

This ticket proposes to export the value of the environment variable in ""yarn.nodemanager.env-whitelist"" via the environment variable or Java properties of the client submitting jobs. So that SRE only has to maintain one version of configuration and users can easily define Hadoop version with one export in an environment variable or Java property.",,,,Improvement,Open,Major,Janus Chow,,2021-06-28T09:00:47.897+0000,2025-11-29T00:23:06.853+0000,,pull-request-available,,,,3,"['2024-10-31T02:35:56.731+0000', '2025-11-28T00:23:09.300+0000', '2025-11-29T00:23:06.706+0000']","['ASF GitHub Bot', 'ASF GitHub Bot', 'ASF GitHub Bot']",,,,,0,[],[],False
YARN-10790,True False False,YARN,13380773,0,YARN-10496,[Umbrella] Support Flexible Auto Queue Creation in Capacity Scheduler,True,CS Flexible AQC: Add separate parent and leaf template property.,"There are certain properties that makes sense only in Parent/Leaf context (eg. ordering-policy). We need a way to limit the inheritance scope for the new auto queue creation templates. The proposal is to have the following template:
 * auto-queue-creation-v2.template -> child ParentQueues and child LeafQueues inherit this
 * auto-queue-creation-v2.leaf-template -> only child LeafQueues inherit this
 * auto-queue-creation-v2.parent-template -> only ParentQueues inherit this",,,,Sub-task,Resolved,Major,Andras Gyori,Andras Gyori,2021-05-27T13:24:28.167+0000,2024-02-12T06:10:03.674+0000,2021-07-28T14:53:51.821+0000,,capacity scheduler,3.4.0,,4,"['2021-06-21T15:21:48.614+0000', '2021-07-21T15:13:42.736+0000', '2021-07-27T22:01:50.576+0000', '2021-07-28T14:52:13.672+0000']","['Hadoop QA', 'Benjamin Teke', 'Hadoop QA', 'Szilard Nemeth']",,,,,1,['2021-06-21T12:25:20.079+0000'],['YARN-10790.001.patch'],True
YARN-10782,True False False,YARN,13379705,0,YARN-10496,[Umbrella] Support Flexible Auto Queue Creation in Capacity Scheduler,True,Extend /scheduler endpoint with template properties,YARN-10564 introduced templates for the new AQC feature. We should extend /scheduler endpoint to return template properties set for an AQC enabled queue.,,,,Sub-task,Resolved,Major,Andras Gyori,Andras Gyori,2021-05-21T08:47:09.850+0000,2021-05-25T16:30:04.055+0000,2021-05-25T16:30:03.966+0000,,capacity scheduler,3.4.0,,4,"['2021-05-23T16:55:27.670+0000', '2021-05-25T11:32:41.312+0000', '2021-05-25T16:01:02.728+0000', '2021-05-25T16:29:36.371+0000']","['Hadoop QA', 'Hadoop QA', 'Hadoop QA', 'Szilard Nemeth']",,,,,3,"['2021-05-21T13:40:29.006+0000', '2021-05-25T08:33:45.604+0000', '2021-05-25T12:54:35.400+0000']","['YARN-10782.001.patch', 'YARN-10782.002.patch', 'YARN-10782.003.patch']",True
YARN-10759,True False False,YARN,13375341,0,YARN-10889,[Umbrella] Queue Creation in Capacity Scheduler - Tech debts,True,Encapsulate queue config modes,"Capacity Scheduler queues have three modes:
 * relative/percentage
 * weight
 * absolute

Most of them have their own:
 * validation logic
 * config setting logic
 * effective capacity calculation logic

These logics can be easily extracted and encapsulated in separate config mode classes.",,,,Sub-task,Resolved,Major,Andras Gyori,Andras Gyori,2021-04-27T13:03:43.370+0000,2021-08-31T10:10:40.901+0000,2021-08-31T10:10:40.801+0000,,capacity scheduler,,,22,"['2021-04-28T13:14:51.780+0000', '2021-04-30T09:36:21.133+0000', '2021-04-30T19:38:35.538+0000', '2021-05-03T10:07:05.287+0000', '2021-05-10T13:44:00.017+0000', '2021-05-11T03:17:22.904+0000', '2021-05-11T07:10:19.723+0000', '2021-05-11T10:03:47.194+0000', '2021-05-14T12:54:22.370+0000', '2021-05-18T08:50:33.753+0000', '2021-05-18T11:52:38.429+0000', '2021-05-26T13:41:50.396+0000', '2021-06-30T10:06:27.278+0000', '2021-07-27T20:13:46.500+0000', '2021-07-27T22:16:23.211+0000', '2021-07-28T16:08:25.805+0000', '2021-07-28T17:40:01.678+0000', '2021-07-29T10:11:29.063+0000', '2021-07-29T12:42:05.427+0000', '2021-07-31T15:16:25.077+0000', '2021-08-04T19:18:25.994+0000', '2021-08-31T10:10:40.891+0000']","['Andras Gyori', 'Hadoop QA', 'Hadoop QA', 'Hadoop QA', 'Benjamin Teke', 'Qi Zhu', 'Andras Gyori', 'Hadoop QA', 'Peter Bacsko', 'Andras Gyori', 'Hadoop QA', 'Szilard Nemeth', 'Andras Gyori', 'Hadoop QA', 'Hadoop QA', 'Benjamin Teke', 'Hadoop QA', 'Szilard Nemeth', 'Hadoop QA', 'Szilard Nemeth', 'Hadoop QA', 'Andras Gyori']",,,,,8,"['2021-04-28T13:06:56.465+0000', '2021-04-30T16:41:41.250+0000', '2021-05-03T07:11:01.689+0000', '2021-05-11T07:09:32.357+0000', '2021-05-18T08:50:41.989+0000', '2021-07-05T06:00:02.330+0000', '2021-07-28T16:11:00.009+0000', '2021-08-04T16:34:53.104+0000']","['YARN-10759.001.patch', 'YARN-10759.002.patch', 'YARN-10759.003.patch', 'YARN-10759.004.patch', 'YARN-10759.005.patch', 'YARN-10759.006.patch', 'YARN-10759.007.patch', 'YARN-10759.008.patch']",True
YARN-10758,True False False,YARN,13375338,0,YARN-10888,[Umbrella] New capacity modes for CS,True,Mixed mode: Allow relative and absolute mode in the same queue hierarchy,"Fair Scheduler supports mixed mode for shares (FS equivalent of capacity). An example scenario of such configuration:
{noformat}
root.a.capacity [memory-mb=7268, vcores=8]{noformat}
{noformat}
root.a.a1.capacity 50{noformat}
{noformat}
root.a.a2.capacity 50{noformat}
This above scenario is not supported in CS today because despite CS already permits using weight mode and relative/percentage mode in the same hierarchy the absolute mode and relative mode is mutually exclusive.

This improvement is a natural extension of CS to lift this limitation.",,,,Sub-task,Resolved,Major,Andras Gyori,Andras Gyori,2021-04-27T12:51:37.220+0000,2021-10-26T12:27:07.729+0000,2021-10-26T12:27:07.648+0000,,capacity scheduler,,,1,['2021-10-26T12:26:59.715+0000'],['Szilard Nemeth'],,,,,0,[],[],False
YARN-10755,True False False,YARN,13375211,0,,,False,Multithreaded loading Apps from zk statestore,"In RM, we may be get a list of applications to be read from state store and then divide the work of reading data associated with each app  to multiple threads.

I think its import to large clusters.
h2. Profile

Profile by  TestZKRMStateStorePerf 

Params： -appSize 20000 -appattemptsize 2 -hostPort localhost:2181 

Profile Result： loadRMAppState stage cost is 5s.

Profile logs：

!image-2021-04-27-12-55-18-710.png!",,,,Improvement,Open,Major,chaosju,Bilwa S T,2021-04-27T04:47:21.947+0000,2021-05-14T05:46:58.404+0000,,,,,,1,['2021-05-07T05:19:07.951+0000'],['Qi Zhu'],,,,,1,['2021-04-27T04:55:20.332+0000'],['image-2021-04-27-12-55-18-710.png'],True
YARN-10738,True True False,YARN,13372540,0,,,False,"When multi thread scheduling with multi node, we should shuffle with a gap to prevent hot accessing nodes.","Now the multi threading scheduling with multi node is not reasonable.

In large clusters, it will cause the hot accessing nodes, which will lead the abnormal boom node.

Solution:

I think we should shuffle the sorted node (such the available resource sort policy) with an interval. 

I will solve the above problem, and avoid the hot accessing node.",,,,Improvement,Patch Available,Major,Qi Zhu,Qi Zhu,2021-04-15T05:58:34.624+0000,2026-02-12T22:20:41.919+0000,,pull-request-available,,,,12,"['2021-04-15T06:10:03.301+0000', '2021-04-15T06:14:04.121+0000', '2021-04-15T06:31:23.572+0000', '2021-04-15T08:19:42.281+0000', '2021-04-16T02:07:41.433+0000', '2021-04-28T21:11:09.757+0000', '2021-04-29T02:44:05.393+0000', '2021-05-04T10:58:09.691+0000', '2021-05-07T06:23:15.924+0000', '2024-01-04T08:30:51.658+0000', '2025-12-02T00:24:16.086+0000', '2025-12-03T00:23:34.947+0000']","['Qi Zhu', 'Bibin Chundatt', 'Qi Zhu', 'Qi Zhu', 'Qi Zhu', 'Jim Brennan', 'Qi Zhu', 'Bibin Chundatt', 'Qi Zhu', 'Shilun Fan', 'ASF GitHub Bot', 'ASF GitHub Bot']",,,,,0,[],[],False
YARN-10714,True False False,YARN,13367316,0,YARN-10496,[Umbrella] Support Flexible Auto Queue Creation in Capacity Scheduler,True,Remove dangling dynamic queues on reinitialization,"Current logic does not handle orphaned auto created child queues. The following example steps show a scenario in which it is possible to submit applications to an orphaned queue, that has an invalid (already removed) ParentQueue.
 # Auto create a queue root.a.a-auto
 # Remove root.a from the config
 # Reinitialize CS without restarting it (possible via mutation API)
 # Submit application to root.a.a-auto, while root.a is a non-existent queue",,,,Sub-task,Resolved,Major,Andras Gyori,Andras Gyori,2021-03-24T17:32:02.493+0000,2024-02-12T05:55:28.977+0000,2021-04-07T09:53:02.833+0000,,capacity scheduler,3.4.0,,6,"['2021-03-31T11:51:27.324+0000', '2021-04-01T09:10:19.474+0000', '2021-04-01T12:02:37.047+0000', '2021-04-06T15:46:35.067+0000', '2021-04-06T18:40:59.045+0000', '2021-04-07T09:52:43.692+0000']","['Hadoop QA', 'Qi Zhu', 'Hadoop QA', 'Andras Gyori', 'Hadoop QA', 'Szilard Nemeth']",,,,,3,"['2021-03-31T08:51:43.088+0000', '2021-04-01T09:04:19.406+0000', '2021-04-06T15:46:15.707+0000']","['YARN-10714.001.patch', 'YARN-10714.002.patch', 'YARN-10714.003.patch']",True
YARN-10655,False True False,YARN,13361191,0,YARN-10496,[Umbrella] Support Flexible Auto Queue Creation in Capacity Scheduler,True,Limit queue creation depth relative to its first static parent,"YARN-10506 introduced a limit on the maximum depth of auto queue creation. This, however, only limits the levels of queue path relative to its first existing parent queue. It poses an unnecessary limitation on users, while providing no real safety net over rogue users (especially when YARN-10632 makes this limit configurable), because it could be incrementally circumvented by creating a new queue under an existing dynamic parent queue. By bounding this limit to the first static parent queue in the hierarchy, we could have a safer alternative.",,,,Sub-task,Resolved,Major,Andras Gyori,Andras Gyori,2021-02-26T13:26:01.520+0000,2021-03-03T16:47:47.438+0000,2021-03-03T16:47:47.358+0000,,yarn,3.4.0,,7,"['2021-03-01T03:44:21.183+0000', '2021-03-01T16:31:42.147+0000', '2021-03-01T19:27:44.299+0000', '2021-03-01T19:36:24.677+0000', '2021-03-02T08:12:09.862+0000', '2021-03-02T08:16:21.827+0000', '2021-03-03T16:46:47.325+0000']","['Qi Zhu', 'Andras Gyori', 'Hadoop QA', 'Peter Bacsko', 'Andras Gyori', 'Qi Zhu', 'Peter Bacsko']",,,,,1,['2021-03-01T16:29:54.695+0000'],['YARN-10655.001.patch'],True
YARN-10623,True False False,YARN,13358052,0,,,False,Capacity scheduler should support refresh queue automatically by a thread policy.,"In fair scheduler, it is supported that refresh queue related conf automatically by a thread to reload, but in capacity scheduler we only support to refresh queue related changes by refreshQueues, it is needed for our cluster to realize queue manage.

cc [~wangda] [~ztang] [~pbacsko] [~snemeth] [~gandras]  [~bteke] [~shuzirra]",,,,Improvement,Resolved,Major,Qi Zhu,Qi Zhu,2021-02-11T02:56:45.330+0000,2024-01-25T15:59:10.448+0000,2021-03-04T11:35:49.571+0000,pull-request-available,capacity scheduler,3.4.0,,30,"['2021-02-16T13:07:41.898+0000', '2021-02-16T16:11:46.673+0000', '2021-02-18T15:55:06.575+0000', '2021-02-18T16:08:37.743+0000', '2021-02-18T16:38:30.929+0000', '2021-02-19T02:13:49.341+0000', '2021-02-19T06:12:42.631+0000', '2021-02-19T09:59:04.305+0000', '2021-02-19T10:57:11.953+0000', '2021-02-19T14:51:47.023+0000', '2021-02-20T02:14:38.502+0000', '2021-02-24T15:21:31.220+0000', '2021-02-24T20:06:16.332+0000', '2021-02-25T08:11:26.804+0000', '2021-02-25T11:58:06.614+0000', '2021-02-26T08:01:30.066+0000', '2021-02-26T11:51:59.983+0000', '2021-02-26T16:09:31.309+0000', '2021-02-27T12:27:20.715+0000', '2021-02-27T16:13:44.345+0000', '2021-02-28T03:56:24.399+0000', '2021-02-28T07:40:35.043+0000', '2021-02-28T15:55:23.658+0000', '2021-02-28T20:10:26.014+0000', '2021-03-01T19:22:56.713+0000', '2021-03-02T02:46:05.487+0000', '2021-03-02T06:35:13.371+0000', '2021-03-02T06:52:38.106+0000', '2021-03-04T03:17:27.857+0000', '2021-03-04T11:35:37.590+0000']","['Qi Zhu', 'Hadoop QA', 'Andras Gyori', 'Qi Zhu', 'Andras Gyori', 'Qi Zhu', 'Qi Zhu', 'Hadoop QA', 'Qi Zhu', 'Hadoop QA', 'Qi Zhu', 'Gergely Pollák', 'Peter Bacsko', 'Qi Zhu', 'Hadoop QA', 'Qi Zhu', 'Hadoop QA', 'Peter Bacsko', 'Qi Zhu', 'Hadoop QA', 'Qi Zhu', 'Hadoop QA', 'Qi Zhu', 'Hadoop QA', 'Peter Bacsko', 'Qi Zhu', 'Hadoop QA', 'Hadoop QA', 'Qi Zhu', 'Peter Bacsko']",,,,,10,"['2021-02-16T13:06:18.189+0000', '2021-02-19T06:08:49.530+0000', '2021-02-19T10:56:53.386+0000', '2021-02-25T08:07:15.487+0000', '2021-02-26T08:01:07.122+0000', '2021-02-27T12:24:57.252+0000', '2021-02-28T03:55:40.068+0000', '2021-02-28T15:54:35.492+0000', '2021-03-02T02:45:19.050+0000', '2021-03-02T03:07:32.041+0000']","['YARN-10623.001.patch', 'YARN-10623.002.patch', 'YARN-10623.003.patch', 'YARN-10623.004.patch', 'YARN-10623.005.patch', 'YARN-10623.006.patch', 'YARN-10623.007.patch', 'YARN-10623.008.patch', 'YARN-10623.009.patch', 'YARN-10623.010.patch']",True
